"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 30 18:55:33 GMT 2025","Sat Aug 30 18:55:34 GMT 2025","889","","","","","","Incorrect Username[Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa]",""
"passed","Sat Aug 30 18:55:03 GMT 2025","Sat Aug 30 18:55:03 GMT 2025","46","","","","","","Get Spend By Id[1-2]",""
"passed","Sat Aug 30 18:55:28 GMT 2025","Sat Aug 30 18:55:29 GMT 2025","854","","","","","","Set New Profile Name[Testname]",""
"passed","Sat Aug 30 18:56:07 GMT 2025","Sat Aug 30 18:56:07 GMT 2025","16","","","","","","Get Friends Page Out Of Range[Page 4, Size 100]","Тест получения друзей с пагинацией через SOAP"
"passed","Sat Aug 30 18:55:49 GMT 2025","Sat Aug 30 18:55:52 GMT 2025","2540","","","","","","Spending Mixed Validation",""
"passed","Sat Aug 30 18:55:31 GMT 2025","Sat Aug 30 18:55:32 GMT 2025","953","","","","","","Profile Name Validation[Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa]",""
"passed","Sat Aug 30 18:55:03 GMT 2025","Sat Aug 30 18:55:03 GMT 2025","13","","","","","","Get All Currencies",""
"passed","Sat Aug 30 18:56:11 GMT 2025","Sat Aug 30 18:56:11 GMT 2025","6","","","","","","Get Friends Page Out Of Range[Page 100, Size 100]","Тест получения друзей с пагинацией через SOAP"
"passed","Sat Aug 30 18:55:44 GMT 2025","Sat Aug 30 18:55:45 GMT 2025","778","","","","","","Add Duplicate Archived Category[Duplicatearchivedcategory]",""
"passed","Sat Aug 30 18:55:54 GMT 2025","Sat Aug 30 18:55:55 GMT 2025","1786","","","","","","Delete Single Spending Ui",""
"passed","Sat Aug 30 18:55:51 GMT 2025","Sat Aug 30 18:55:54 GMT 2025","2696","","","","","","Add New Spending[235.35 Kzt Id=None Name='\U041F\U0443\U0442\U0435\U0448\U0435\U0441\U0442\U0432\U0438\U044F' Username=None Archived=False \U0411\U0438\U043B\U0435\U0442\U044B \U043D\U0430 \U0441\U0430\U043C\U043E\U043B\U0451\U0442]",""
"passed","Sat Aug 30 18:55:28 GMT 2025","Sat Aug 30 18:55:28 GMT 2025","533","","","","","","Show Archived Categories",""
"passed","Sat Aug 30 18:55:05 GMT 2025","Sat Aug 30 18:55:05 GMT 2025","63","","","","","","Update Category Archived[Uniquecategory4]",""
"passed","Sat Aug 30 18:55:44 GMT 2025","Sat Aug 30 18:55:45 GMT 2025","1247","","","","","","Correct Registration[Niffleruser]",""
"passed","Sat Aug 30 18:55:41 GMT 2025","Sat Aug 30 18:55:41 GMT 2025","23","","","","","","Get All Users Pagination[Page 1, Size 6]","Тест получения пользователей с пагинацией через SOAP"
"passed","Sat Aug 30 18:55:34 GMT 2025","Sat Aug 30 18:55:34 GMT 2025","53","","","","","","Remove Friend","Тест удаления из друзей через SOAP"
"passed","Sat Aug 30 18:55:03 GMT 2025","Sat Aug 30 18:55:03 GMT 2025","7","","","","","","Calculate Rate  Without Spend Currency[2-345.0]",""
"passed","Sat Aug 30 18:55:22 GMT 2025","Sat Aug 30 18:55:22 GMT 2025","36","","","","","","Get All Users","Тест получения списка всех пользователей через SOAP"
"passed","Sat Aug 30 18:55:05 GMT 2025","Sat Aug 30 18:55:05 GMT 2025","57","","","","","","Add Existing Archived Category[Uniquearchivedcategory1]",""
"passed","Sat Aug 30 18:55:03 GMT 2025","Sat Aug 30 18:55:03 GMT 2025","5","","","","","","Calculate Rate  With Zero Amount[2-3]",""
"skipped","Sat Aug 30 18:55:03 GMT 2025","Sat Aug 30 18:55:03 GMT 2025","14","","","","","","Calculate Rate  With Negative Amount[-200.0]",""
"passed","Sat Aug 30 18:55:45 GMT 2025","Sat Aug 30 18:55:46 GMT 2025","693","","","","","","Duplicate Category Alert Elements[Duplicatecategorynifflerunique]",""
"passed","Sat Aug 30 18:55:25 GMT 2025","Sat Aug 30 18:55:25 GMT 2025","6","","","","","","Get All Users Page Invalid Parameters[Page 1, Size 0]","Тест получения пользователей с пагинацией через SOAP с некорректными параметрами"
"passed","Sat Aug 30 18:55:03 GMT 2025","Sat Aug 30 18:55:03 GMT 2025","7","","","","","","Calculate Rate  Without Amount[3-1]",""
"passed","Sat Aug 30 18:55:59 GMT 2025","Sat Aug 30 18:56:04 GMT 2025","5144","","","","","","Nonexistent Spendings Search[123]",""
"passed","Sat Aug 30 18:55:35 GMT 2025","Sat Aug 30 18:55:36 GMT 2025","1056","","","","","","Incorrect Password[Aaaaaaaaaaaaa]",""
"passed","Sat Aug 30 18:55:27 GMT 2025","Sat Aug 30 18:55:28 GMT 2025","43","","","","","","Get All Users Pagination[Page 1, Size 3]","Тест получения пользователей с пагинацией через SOAP"
"passed","Sat Aug 30 18:55:41 GMT 2025","Sat Aug 30 18:55:42 GMT 2025","831","","","","","","Registration Mixed Errors[A A Aaaaaaaaaaaaa]",""
"passed","Sat Aug 30 18:55:03 GMT 2025","Sat Aug 30 18:55:03 GMT 2025","15","","","","","","Calculate Rate  Without Desired Currency[3-100.0]",""
"passed","Sat Aug 30 18:55:02 GMT 2025","Sat Aug 30 18:55:02 GMT 2025","114","","","","","","Updated Category In Database[Uniquedatabasecategory2]",""
"passed","Sat Aug 30 18:55:03 GMT 2025","Sat Aug 30 18:55:03 GMT 2025","13","","","","","","Currency Conversion[2-1-100.0-6666.67]",""
"passed","Sat Aug 30 18:55:11 GMT 2025","Sat Aug 30 18:55:11 GMT 2025","22","","","","","","Get User Info With Existing Username","Тест получения существующего пользователя через SOAP"
